plywood, pren tair haen, celf,
cameo, cameo, celf,
candid, didwyll, celf,
candle grease, gwêr cannwyll, celf,
cane, gwialen, celf,
canework, gwaith gwiail, celf,
caneworker's bodkin, botgin gweithiwr gwiail, celf,
caneworker's hammer, morthwyl gweithiwr gwiail, celf,
caneworker's pliers, gefelen gweithiwr gwiail, celf,
canopy, canopi, celf,
cantilever, cantilifer, celf,
canvas, cynfas, celf,
canvas backing, cefn cynfas, celf,
canvas board, bwrdd cynfas, celf,
canvas embroidery, brodwaith cynfas, celf,
canvas grain, graen cynfas, celf,
canvas pin, pìn cynfas, celf,
canvas straining, tynhau cynfas, celf,
canvas stretcher, estynnwr cynfas, celf,
capacity, cynhwysedd, celf,
capital letter, priflythyren, celf,
caption, pennawd, celf,
carbon paper, papur carbon, celf,
card, cerdyn, celf,
card cutter, torrwr cerdyn, celf,
card knife, cyllell torri cerdyn, celf,
card loom, gwŷdd cerdyn, celf,
card puppet, pyped cerdyn, celf,
cardboard, cardbord, celf,
cardboard model, model cardbord, celf,
cardboard tube, tiwb cardbord, celf,
carder, cribwr, celf,
care, gofal, celf,
caricature, gwawdlun, celf,
caricaturist, gwawdlunydd, celf,
carmine, carmin, celf,
carolingian art, celfyddyd garolingaidd, celf,
carpenter's pencil, pensil saer, celf,
carragheen moss, mwsogl carragheen, celf,
carton, carton, celf,
cartoon, cartŵn, celf,
cartridge paper, papur cetris, celf,
carve, cerfio, celf,
carved head, pen cerfiedig, celf,
carver, cerfiwr, celf,
carving, cerfiad, celf,
carving chisel, cŷn cerfio, celf,
carving mallet, gordd gerfio, celf,
caryatid, caryatid, celf,
case, cas, celf,
casein, casein, celf,
casein colour, lliw casein, celf,
casein glue, glud casein, celf,
castellated, castellaidd, celf,
castellated prop, ateg gastellaidd, celf,
castellation, castelliad, celf,
casting, castin, celf,
casting, castio, celf,
casting plaster, castin plastr, celf,
castle, castell, celf,
catalogue, catalog, celf,
catalyst, catalydd, celf,
cathedral, eglwys gadeiriol, celf,
cave painting, paentiad ogof, celf,
cavity, ceudod, celf,
cedar, cedrwydden, celf,
cedarwood pencil, pensil pren cedrwydd, celf,
celadon, seladon, celf,
cellophane, seloffan, celf,
cellular adhesive, gludydd cellog, celf,
celluloid, cellwloid, celf,
cellulose, cellwlos, celf,
cellulose paste, past cellwlos, celf,
cellulose paste powder, powdr past cellwlos, celf,
celtic art, celfyddyd geltaidd, celf,
celtic cross, croes geltaidd, celf,
celtic form, ffurf geltaidd, celf,
cement, sment, celf,
cement, smentio, celf,
central, canolog, celf,
central perspective, persbectif canolog, celf,
centre, canolbwynt, celf,
centre bar, bar canol, celf,
centre cane, gwialen ganol, celf,
centre of balance, ffwlcrwm, celf,
centripetal, mewngyrchol, celf,
ceramic, ceramig, celf,
ceramic tile, teilsen geramig, celf,
ceramics, cerameg, celf,
cerise, ceirios, celf,
cerulean blue, glas y nen, celf,
chain, cadwyn, celf,
chain stitch, pwyth cadwyn, celf,
chalk, sialc, celf,
chalk, sialcio, celf,
chalk drawing, llun sialc, celf,
chamber, siambr, celf,
chaplet, coronbleth, celf,
chapterhouse, cabidyldy, celf,
character, cymeriad, celf,
character of a puppet, cymeriad pyped, celf,
characteristic, nodweddiadol, celf,
characteristic, nodwedd, celf,
characterization, cymeriadaeth, celf,
charcoal, siarcol, celf,
charcoal drawing, llun siarcol, celf,
charcoal pencil, pensil siarcol, celf,
charge, llwytho, celf,
chariot wheel pattern, patrwm olwyn cerbyd, celf,
chart, siart, celf,
chaser, siaswr, celf,
chasing, siasio, celf,
chasing hammer, morthwyl siasio, celf,
chef-d'oeuvre, campwaith, celf,
chevron stitch, pwyth ceibr, celf,
chiaroscuro, chiaroscuro, celf,
chill bar, bar rhynnu, celf,
china, tsieni, celf,
china clay, caolin, celf,
china palette, palet tsieni, celf,
china ware, llestri tsieni, celf,
chinese white, gwyn tsieina, celf,
chip, sglodyn, celf,
chipboard, bwrdd sglodion, celf,
chipping resistance, gwrthiant sglodi, celf,
chisel, cŷn, celf,
chisel, naddu, celf,
chisel blade, llafn cŷn, celf,
chromatic, cromatig, celf,
chrome, crôm, celf,
chrome green, gwyrdd crôm, celf,
chrome orange, oren crôm, celf,
chromium, cromiwm, celf,
church embroidery, brodwaith eglwysig, celf,
circle, cylch, celf,
circular, crwn, celf,
circus, syrcas, celf,
cire perdue, cwyr coll, celf,
civilization, gwareiddiad, celf,
clamp, clamp, celf,
clarity, eglurder, celf,
clasp, clesbyn, celf,
class, dosbarth, celf,
classical, clasurol, celf,
classicism, clasuriaeth, celf,
classification, dosbarthiad, celf,
clay, clai, celf,
clay bin, bin clai, celf,
clay cutter, torrell glai, celf,
clay modelling, modelu â chlai, celf,
clay modelling tool, erfyn modelu clai, celf,
clay relief, cerfwedd glai, celf,
clay tools, offer clai, celf,
clean, glân, celf,
cleaner, glanhawr, celf,
cleaner, defnydd glanhau, celf,
cleaning fluid, hylif glanhau, celf,
cleanliness, glendid, celf,
cleanse, glanhau, celf,
cleanser, glanweithydd, celf,
clear, clir, celf,
clear glaze, gwydredd gloyw, celf,
clear plastic, plastig clir, celf,
clear varnish, farnais clir, celf,
clench, clensio, celf,
clerestory, llofft olau, celf,
cloak, clogyn, celf,
clog, tagu, celf,
cloisonné enamel, enamel cloisonné, celf,
close woven fabric, ffabrig gwead clos, celf,
cloth, lliain, celf,
cloth body, corff lliain, celf,
clothes, dillad, celf,
clothes peg, peg dillad, celf,
clown, clown, celf,
coalesce, cyfuno, celf,
coalescence, cyfuniad, celf,
coarse, bras, celf,
coarse, garw, celf,
coarse grain, graen bras, celf,
coarse surface, arwyneb bras, celf,
coarse texture, gwead bras, celf,
coarseness, garwedd, celf,
coat, araen, celf,
coat, araenu, celf,
coat of arms, arfbais, celf,
cobalt, cobalt, celf,
cobalt green, gwyrdd cobalt, celf,
cobalt violet, fioled cobalt, celf,
coefficient of expansion, cyfernod ehangiad, celf,
coherent, cydlynol, celf,
coil, coil, celf,
coil, torch, celf,
coiling, torchi, celf,
coincide, cyd-daro, celf,
coincident, cyd-drawol, celf,
cold chisel, cŷn caled, celf,
cold colour, lliw oer, celf,
cold glue, glud oer, celf,
cold water dye, llifyn dŵr oer, celf,
cold water glue, glud dŵr oer, celf,
cold water paste, past dŵr oer, celf,
cold-forming, ffurfio'n oer, celf,
collage, collage, celf,
collar, coler, celf,
collaring, coleru, celf,
collate, coladu, celf,
collection, casgliad, celf,
colour, lliw, celf,
colour, lliwio, celf,
colour additive, ychwanegyn lliw, celf,
colour block, bloc lliw, celf,
colour box, blwch lliw, celf,
colour cake, teisen liw, celf,
colour chart, siart lliwiau, celf,
colour combinations, cyfuniadau o liwiau, celf,
colour depth, dyfnder lliw, celf,
colour medium, cyfrwng lliw, celf,
colour mixing, cymysgu lliwiau, celf,
colour palette, palet lliw, celf,
colour pencil, pensil lliw, celf,
colour perspective, persbectif lliw, celf,
colour print, print lliw, celf,
colour quality, ansawdd lliw, celf,
colour range, amrediad lliw, celf,
colour rendering, rendro lliw, celf,
colour resolution, cydraniad lliw, celf,
colour sample, sampl lliw, celf,
colour scheme, cynllun lliw, celf,
colour selection, dewis lliw, celf,
colour stick, ffon lliw, celf,
colour tooling leaf, dalen offeru lliw, celf,
colourant, lliwydd, celf,
colouration, lliwiad, celf,
coloured bead, glain lliw, celf,
coloured card, cerdyn lliw, celf,
coloured cardboard, cardbord lliw, celf,
coloured cartridge paper, papur cetris lliw, celf,
coloured cellophane, seloffan lliw, celf,
coloured chalk, sialc lliw, celf,
coloured drawing ink, inc lluniadu lliw, celf,
coloured eyelet, llygaden liw, celf,
coloured felt, ffelt lliw, celf,
coloured glass, gwydr lliw, celf,
coloured lace, carrai liw, celf,
coloured paper, papur lliw, celf,
coloured perspex, persbecs lliw, celf,
coloured plasticine, plastisin lliw, celf,
coloured tissue paper, papur sidan lliw, celf,
colourfast dye, llifyn anniflan, celf,
colouring, lliwio, celf,
colouring agent, cyfrwng lliwio, celf,
colourless, di-liw, celf,
column, colofn, celf,
comb, crib, celf,
combination, cyfuniad, celf,
combination easel, îsl cyfunol, celf,
combine, cyfuno, celf,
comic atmosphere, awyrgylch comig, celf,
comic character, cymeriad comig, celf,
commercial, masnachol, celf,
commercial art, celfyddyd fasnachol, celf,
commission, comisiwn, celf,
commission, comisiynu, celf,
compact, cryno, celf,
compare, cymharu, celf,
compass, cwmpawd, celf,
complementary colour, lliw cyflenwol, celf,
complete, cyflawn, celf,
compose, cyfansoddi, celf,
composite stitch, pwyth cyfansawdd, celf,
composition, cyfansoddiad, celf,
compositional, cyfansoddiadol, celf,
compositional weight, pwyslais cyfansoddiadol, celf,
compound, cyfansoddyn, celf,
